grado,asignatura,facultad
grado-marketing-investigacion-mercados,Guía docente de Fundamentos de Dirección y Administración de Empresas (2361112),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-ciencias-politicas-administracion,Guía docente de Fundamentos de Ciencia Política: Conceptos y Enfoques (2121111),Facultad-de-Ciencias-Políticas-y-Sociología
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Fundamentos de Dirección y Admon de Empresas (2481112),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-economia-bilingue,Guía docente de Fundamentos de Dirección y Administración de Empresas (2261112),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-cc-politicas-admon-sociologia,Guía docente de Fundamentos del Trabajo Social (2191113),Facultad-de-Ciencias-Políticas-y-Sociología
grado-filosofia,Guía docente de Historia Contemporánea (2631112),Facultad-de-Filosofía-y-Letras
grado-educacion-social-ceuta,Guía docente de Fundamentos de Sociología (4141115),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-relaciones-laborales-recursos-humanos-mel,Guía docente de Historia de las Relaciones Laborales (5591115),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-comunicacion-audiovisual,Guía docente de Historia del Mundo Actual (2271112),Facultad-de-Comunicación-y-Documentación
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Fundamentos de Informática (2481115),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-inga-informatica-administ-direcc-empresas,Guía docente de Fundamentos de Programación (2161115),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-historia-arte,Guía docente de Historia de los Estilos e Iconografía (2931114),Facultad-de-Filosofía-y-Letras
grado-ciencias-politicas-administracion-periodismo,Guía docente de Historia de las Ideas Políticas (2241114),Facultad-de-Ciencias-Políticas-y-Sociología
grado-ingenieria-informatica-matematicas,Guía docente de Fundamentos Físicos y Tecnológicos (2971114),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias
grado-turismo,Guía docente de Fundamentos en Dirección y Administración de Empresas (2381112),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-ingenieria-informatica-matematicas,Guía docente de Geometría I (2971115),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias
grado-trabajo-social,Guía docente de Gestión de Información (2491115),Facultad-de-Trabajo-Social
grado-literaturas-comparadas,Guía docente de Idioma Moderno Inicial I: Árabe (290111L),Facultad-de-Filosofía-y-Letras
grado-historia,Guía docente de Historia Medieval I:  Alta Edad Media (2921113),Facultad-de-Filosofía-y-Letras
grado-administracion-direccion-empresas,Guía docente de Fundamentos de Dirección y Administración de Empresas (2351112),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-ciencias-actividad-fisica-deporte,Guía docente de Fundamentos de los Deportes I: Atletismo (288111B),Facultad-de-Ciencias-del-Deporte
grado-trabajo-social,Guía docente de Fundamentos del Trabajo Social (2491114),Facultad-de-Trabajo-Social
grado-ciencias-ambientales,Guía docente de Geología (2061113),Facultad-de-Ciencias
grado-arqueologia,Guía docente de Historia Medieval (2661113),Facultad-de-Filosofía-y-Letras
grado-estudios-arquitectura,Guía docente de Ideación Gráfica e Introducción al Proyecto Arquitectónico (2091111),Escuela-Técnica-Superior-de-Arquitectura
grado-bioquimica,Guía docente de Fundamentos de Genética (2611115),Facultad-de-Ciencias
grado-sociologia,Guía docente de Historia Social y Política Contemporánea (2141113),Facultad-de-Ciencias-Políticas-y-Sociología
grado-educacion-social,Guía docente de Historia de la Educación Social (2441112),Facultad-de-Ciencias-de-la-Educación
grado-ciencias-actividad-fisica-deporte,Guía docente de Fundamentos de los Deportes I: Voleibol (288111A),Facultad-de-Ciencias-del-Deporte
grado-historia,"Guía docente de Historia Antigua I: Historia del Próximo Oriente, Egipto y Grecia (2921112)",Facultad-de-Filosofía-y-Letras
grado-edificacion-administ-direcc-empresas,Guía docente de Geometría Descriptiva (2181116),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Ciencias-Económicas-y-Empresariales
grado-filologia-hispanica,Guía docente de Idioma Moderno Inicial I: Búlgaro (283111G),Facultad-de-Filosofía-y-Letras
grado-fisioterapia-melilla,Guía docente de Fundamentos de Fisioterapia (5411113),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-literaturas-comparadas,Guía docente de Idioma Moderno Inicial I: Búlgaro (290111G),Facultad-de-Filosofía-y-Letras
grado-filologia-clasica,Guía docente de Idioma Moderno Inicial I: Alemán (276111J),Facultad-de-Filosofía-y-Letras
grado-educacion-social-melilla,Guía docente de Historia de la Educación Social (5141112),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-matematicas-fisica,Guía docente de Geometría I (2951113),Facultad-de-Ciencias
grado-historia,Guía docente de Geografía Física y Humana (2921114),Facultad-de-Filosofía-y-Letras
grado-informacion-documentacion,Guía docente de Fundamentos de Informática (2311115),Facultad-de-Comunicación-y-Documentación
grado-inga-informatica-administ-direcc-empresas,Guía docente de Fundamentos de Dirección y Administración de Empresas (2161111),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-fisioterapia,Guía docente de Fundamentos de Fisioterapia (2411113),Facultad-de-Ciencias-de-la-Salud
grado-educacion-social,Guía docente de Fundamentos de Sociología (2441115),Facultad-de-Ciencias-de-la-Educación
grado-sociologia,Guía docente de Fundamentos del Trabajo Social (2141114),Facultad-de-Ciencias-Políticas-y-Sociología
grado-educacion-social-ceuta,Guía docente de Historia de la Educación Social (4141112),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-historia-arte,Guía docente de Fundamentos de la Expresión Musical y su Evolución (293111A),Facultad-de-Filosofía-y-Letras
grado-filologia-clasica,Guía docente de Idioma Moderno Inicial I: Árabe (276111L),Facultad-de-Filosofía-y-Letras
grado-relaciones-laborales-recursos-humanos,Guía docente de Historia de las Relaciones Laborales (2591115),Facultad-de-Relaciones-Laborales-y-Recursos-Humanos
grado-historia-ciencias-musica,Guía docente de Géneros Literarios (2991112),Facultad-de-Filosofía-y-Letras
grado-filologia-hispanica,Guía docente de Idioma Moderno Inicial I: Alemán (283111J),Facultad-de-Filosofía-y-Letras
